parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2271.0,21.0,15.0,0.47,0.6,0.43,0.4,0.29,0.2,0.14
2272.0,15.0,16.0,0.57,0.62,0.67,0.56,0.6,0.31,0.33
2273.0,28.0,16.0,0.62,0.69,0.39,0.69,0.39,0.38,0.21
2274.0,22.0,18.0,0.65,0.78,0.64,0.61,0.5,0.39,0.32
2275.0,21.0,22.0,0.55,0.59,0.62,0.41,0.43,0.23,0.24
2276.0,5.0,8.0,0.63,0.38,0.6,0.38,0.6,0.12,0.2
2277.0,3.0,5.0,0.57,0.4,0.67,0.4,0.67,0.2,0.33
2278.0,13.0,9.0,0.53,0.56,0.38,0.33,0.23,0.33,0.23
2279.0,5.0,5.0,0.3,0.4,0.4,0.2,0.2,0.0,0.0
2280.0,11.0,13.0,0.51,0.54,0.64,0.38,0.45,0.15,0.18
2281.0,14.0,13.0,0.67,0.77,0.71,0.69,0.64,0.38,0.36
2282.0,18.0,14.0,0.53,0.64,0.5,0.57,0.44,0.07,0.06
2283.0,10.0,12.0,0.36,0.33,0.4,0.17,0.2,0.08,0.1
2284.0,7.0,10.0,0.61,0.5,0.71,0.5,0.71,0.2,0.29
2285.0,13.0,10.0,0.65,0.8,0.62,0.6,0.46,0.3,0.23
2286.0,16.0,13.0,0.66,0.77,0.62,0.69,0.56,0.31,0.25
2287.0,15.0,16.0,0.44,0.44,0.47,0.44,0.47,0.25,0.27
2288.0,20.0,19.0,0.4,0.47,0.45,0.37,0.35,0.16,0.15
2289.0,15.0,10.0,0.58,0.6,0.4,0.6,0.4,0.4,0.27
2290.0,23.0,22.0,0.45,0.45,0.43,0.41,0.39,0.14,0.13
2291.0,14.0,13.0,0.61,0.77,0.71,0.69,0.64,0.0,0.0
2292.0,3.0,4.0,0.82,0.75,1.0,0.75,1.0,0.0,0.0
2293.0,15.0,14.0,0.56,0.71,0.67,0.5,0.47,0.21,0.2
2294.0,15.0,13.0,0.51,0.62,0.53,0.62,0.53,0.0,0.0
2295.0,9.0,9.0,0.43,0.44,0.44,0.44,0.44,0.11,0.11
2296.0,2.0,2.0,0.43,0.5,0.5,0.5,0.5,0.0,0.0
2297.0,4.0,6.0,0.72,0.5,0.75,0.5,0.75,0.17,0.25
2298.0,2.0,6.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
2299.0,3.0,4.0,0.68,0.5,0.67,0.5,0.67,0.25,0.33
2300.0,17.0,17.0,0.45,0.47,0.47,0.47,0.47,0.12,0.12
2301.0,19.0,15.0,0.45,0.53,0.42,0.33,0.26,0.0,0.0
2302.0,8.0,6.0,0.7,0.67,0.5,0.67,0.5,0.5,0.38
2304.0,21.0,16.0,0.57,0.69,0.52,0.5,0.38,0.19,0.14
2305.0,28.0,16.0,0.5,0.56,0.32,0.5,0.29,0.19,0.11
2306.0,50.0,20.0,0.54,0.7,0.28,0.45,0.18,0.05,0.02
2307.0,4.0,3.0,0.52,0.67,0.5,0.67,0.5,0.0,0.0
2308.0,6.0,3.0,0.64,0.67,0.33,0.67,0.33,0.67,0.33
2309.0,1.0,448.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
2310.0,12.0,13.0,0.46,0.46,0.5,0.46,0.5,0.08,0.08
2311.0,20.0,16.0,0.45,0.56,0.45,0.5,0.4,0.06,0.05
2312.0,19.0,17.0,0.58,0.65,0.58,0.65,0.58,0.29,0.26
2313.0,19.0,20.0,0.67,0.75,0.79,0.65,0.68,0.35,0.37
2314.0,18.0,15.0,0.5,0.6,0.5,0.4,0.33,0.27,0.22
2315.0,16.0,16.0,0.65,0.81,0.81,0.56,0.56,0.31,0.31
2316.0,12.0,11.0,0.45,0.45,0.42,0.36,0.33,0.09,0.08
2317.0,17.0,14.0,0.58,0.71,0.59,0.57,0.47,0.14,0.12
2318.0,23.0,18.0,0.46,0.56,0.43,0.33,0.26,0.06,0.04
2319.0,15.0,9.0,0.8,0.89,0.53,0.78,0.47,0.33,0.2
2320.0,29.0,20.0,0.37,0.4,0.28,0.35,0.24,0.15,0.1
2321.0,17.0,18.0,0.34,0.33,0.35,0.22,0.24,0.06,0.06
2322.0,14.0,8.0,0.45,0.5,0.29,0.38,0.21,0.0,0.0
2323.0,8.0,9.0,0.54,0.67,0.75,0.22,0.25,0.11,0.12
2324.0,18.0,17.0,0.41,0.53,0.5,0.18,0.17,0.18,0.17
2325.0,38.0,33.0,0.44,0.52,0.45,0.39,0.34,0.03,0.03
2326.0,17.0,14.0,0.36,0.36,0.29,0.36,0.29,0.07,0.06
2327.0,11.0,13.0,0.72,0.77,0.91,0.62,0.73,0.23,0.27
2328.0,23.0,17.0,0.69,0.82,0.61,0.71,0.52,0.29,0.22
2329.0,32.0,18.0,0.46,0.44,0.25,0.44,0.25,0.11,0.06
2330.0,29.0,13.0,0.36,0.31,0.14,0.23,0.1,0.0,0.0
2331.0,17.0,10.0,0.47,0.6,0.35,0.2,0.12,0.1,0.06
2332.0,13.0,13.0,0.39,0.46,0.46,0.38,0.38,0.08,0.08
2333.0,25.0,8.0,0.71,0.88,0.28,0.88,0.28,0.0,0.0
2334.0,18.0,11.0,0.55,0.64,0.39,0.55,0.33,0.09,0.06
2335.0,16.0,9.0,0.66,0.78,0.44,0.78,0.44,0.22,0.12
2336.0,15.0,10.0,0.46,0.6,0.4,0.4,0.27,0.1,0.07
2337.0,2.0,3.0,0.71,0.67,1.0,0.33,0.5,0.0,0.0
2338.0,5.0,6.0,0.8,0.67,0.8,0.67,0.8,0.5,0.6
2339.0,10.0,11.0,0.63,0.64,0.7,0.64,0.7,0.36,0.4
2340.0,4.0,3.0,0.63,1.0,0.75,0.0,0.0,0.0,0.0
2341.0,3.0,6.0,0.79,0.33,0.67,0.33,0.67,0.33,0.67
2342.0,13.0,12.0,0.39,0.58,0.54,0.17,0.15,0.08,0.08
2343.0,16.0,19.0,0.5,0.47,0.56,0.42,0.5,0.26,0.31
