parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
3246.0,18.0,7.0,0.49,0.43,0.17,0.43,0.17,0.29,0.11
3247.0,87.0,16.0,0.42,0.56,0.1,0.31,0.06,0.06,0.01
3248.0,124.0,19.0,0.6,0.63,0.1,0.53,0.08,0.16,0.02
3249.0,76.0,21.0,0.64,0.76,0.21,0.52,0.14,0.29,0.08
3250.0,34.0,24.0,0.73,0.83,0.59,0.71,0.5,0.29,0.21
3251.0,16.0,17.0,0.83,0.88,0.94,0.82,0.88,0.59,0.62
3252.0,32.0,15.0,0.55,0.6,0.28,0.4,0.19,0.07,0.03
3253.0,60.0,12.0,0.62,0.75,0.15,0.5,0.1,0.25,0.05
3254.0,35.0,19.0,0.55,0.58,0.31,0.47,0.26,0.37,0.2
3255.0,13.0,9.0,0.63,0.67,0.46,0.56,0.38,0.44,0.31
3256.0,12.0,18.0,0.53,0.39,0.58,0.33,0.5,0.33,0.5
3257.0,20.0,15.0,0.64,0.73,0.55,0.67,0.5,0.2,0.15
3258.0,22.0,18.0,0.69,0.78,0.64,0.72,0.59,0.33,0.27
3259.0,30.0,22.0,0.58,0.73,0.53,0.45,0.33,0.27,0.2
3260.0,19.0,14.0,0.63,0.79,0.58,0.64,0.47,0.14,0.11
3261.0,18.0,10.0,0.64,0.8,0.44,0.6,0.33,0.3,0.17
3262.0,18.0,16.0,0.57,0.69,0.61,0.5,0.44,0.12,0.11
3263.0,18.0,16.0,0.67,0.75,0.67,0.69,0.61,0.25,0.22
3264.0,21.0,18.0,0.75,0.83,0.71,0.78,0.67,0.44,0.38
3265.0,23.0,15.0,0.6,0.73,0.48,0.6,0.39,0.27,0.17
3266.0,22.0,9.0,0.5,0.67,0.27,0.44,0.18,0.0,0.0
3267.0,31.0,21.0,0.69,0.81,0.55,0.76,0.52,0.38,0.26
3268.0,25.0,22.0,0.57,0.68,0.6,0.5,0.44,0.18,0.16
3269.0,21.0,21.0,0.67,0.76,0.76,0.67,0.67,0.38,0.38
3270.0,18.0,16.0,0.53,0.5,0.44,0.5,0.44,0.19,0.17
3271.0,29.0,27.0,0.56,0.59,0.55,0.52,0.48,0.22,0.21
3272.0,16.0,15.0,0.45,0.53,0.5,0.4,0.38,0.2,0.19
3273.0,10.0,10.0,0.51,0.6,0.6,0.5,0.5,0.2,0.2
3274.0,17.0,22.0,0.64,0.55,0.71,0.5,0.65,0.32,0.41
3275.0,17.0,20.0,0.5,0.45,0.53,0.4,0.47,0.25,0.29
3276.0,15.0,14.0,0.57,0.71,0.67,0.43,0.4,0.29,0.27
3277.0,16.0,19.0,0.69,0.63,0.75,0.53,0.62,0.32,0.38
3278.0,31.0,26.0,0.73,0.85,0.71,0.69,0.58,0.19,0.16
3279.0,12.0,10.0,0.49,0.6,0.5,0.6,0.5,0.1,0.08
3280.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3281.0,2.0,448.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
3282.0,7.0,3.0,0.79,1.0,0.43,0.67,0.29,0.33,0.14
3283.0,23.0,18.0,0.62,0.67,0.52,0.61,0.48,0.17,0.13
3284.0,23.0,6.0,0.7,0.83,0.22,0.67,0.17,0.5,0.13
3285.0,38.0,10.0,0.48,0.5,0.13,0.5,0.13,0.1,0.03
3286.0,22.0,15.0,0.67,0.8,0.55,0.73,0.5,0.07,0.05
3287.0,43.0,29.0,0.67,0.76,0.51,0.66,0.44,0.17,0.12
3288.0,24.0,24.0,0.54,0.71,0.71,0.46,0.46,0.08,0.08
3289.0,34.0,20.0,0.69,0.9,0.53,0.65,0.38,0.15,0.09
3290.0,27.0,24.0,0.62,0.75,0.67,0.62,0.56,0.25,0.22
3291.0,29.0,17.0,0.65,0.76,0.45,0.65,0.38,0.41,0.24
3292.0,30.0,18.0,0.61,0.72,0.43,0.56,0.33,0.22,0.13
3293.0,2.0,30.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3294.0,32.0,13.0,0.72,0.85,0.34,0.85,0.34,0.23,0.09
3295.0,30.0,20.0,0.58,0.7,0.47,0.6,0.4,0.3,0.2
3296.0,23.0,18.0,0.69,0.72,0.57,0.67,0.52,0.56,0.43
3297.0,19.0,17.0,0.64,0.76,0.68,0.65,0.58,0.29,0.26
3298.0,14.0,12.0,0.5,0.58,0.5,0.5,0.43,0.25,0.21
3299.0,26.0,19.0,0.65,0.74,0.54,0.68,0.5,0.32,0.23
3300.0,28.0,15.0,0.86,0.93,0.5,0.87,0.46,0.67,0.36
3301.0,21.0,19.0,0.67,0.74,0.67,0.74,0.67,0.47,0.43
3302.0,16.0,13.0,0.6,0.69,0.56,0.54,0.44,0.23,0.19
3303.0,15.0,23.0,0.74,0.57,0.87,0.43,0.67,0.22,0.33
3304.0,21.0,18.0,0.6,0.67,0.57,0.5,0.43,0.22,0.19
3305.0,21.0,12.0,0.75,0.83,0.48,0.83,0.48,0.42,0.24
3306.0,34.0,21.0,0.72,0.86,0.53,0.71,0.44,0.19,0.12
3307.0,32.0,24.0,0.57,0.62,0.47,0.58,0.44,0.33,0.25
3308.0,23.0,23.0,0.47,0.61,0.61,0.35,0.35,0.09,0.09
3309.0,33.0,21.0,0.58,0.76,0.48,0.38,0.24,0.05,0.03
3310.0,23.0,16.0,0.74,0.88,0.61,0.81,0.57,0.31,0.22
3311.0,25.0,18.0,0.54,0.61,0.44,0.56,0.4,0.17,0.12
3312.0,33.0,19.0,0.72,0.84,0.48,0.74,0.42,0.42,0.24
3313.0,14.0,21.0,0.89,0.67,1.0,0.62,0.93,0.38,0.57
3314.0,22.0,15.0,0.63,0.73,0.5,0.67,0.45,0.2,0.14
3315.0,25.0,18.0,0.52,0.67,0.48,0.5,0.36,0.22,0.16
3316.0,17.0,17.0,0.6,0.65,0.65,0.53,0.53,0.29,0.29
3317.0,12.0,17.0,0.75,0.65,0.92,0.53,0.75,0.18,0.25
3318.0,15.0,13.0,0.76,0.77,0.67,0.69,0.6,0.54,0.47
3319.0,10.0,11.0,0.74,0.82,0.9,0.55,0.6,0.36,0.4
3320.0,16.0,10.0,0.61,0.7,0.44,0.7,0.44,0.3,0.19
3321.0,5.0,4.0,0.53,0.75,0.6,0.25,0.2,0.25,0.2
3322.0,6.0,7.0,0.63,0.57,0.67,0.43,0.5,0.29,0.33
3323.0,48.0,21.0,0.48,0.57,0.25,0.43,0.19,0.0,0.0
3324.0,27.0,24.0,0.62,0.71,0.63,0.5,0.44,0.29,0.26
3325.0,34.0,11.0,0.69,0.73,0.24,0.73,0.24,0.18,0.06
3326.0,12.0,3.0,0.77,1.0,0.25,0.67,0.17,0.33,0.08
3327.0,7.0,4.0,0.51,0.5,0.29,0.5,0.29,0.0,0.0
3328.0,6.0,2.0,0.89,1.0,0.33,1.0,0.33,0.5,0.17
3329.0,20.0,8.0,0.65,0.75,0.3,0.62,0.25,0.38,0.15
3330.0,17.0,15.0,0.39,0.47,0.41,0.33,0.29,0.0,0.0
3331.0,7.0,14.0,0.76,0.43,0.86,0.43,0.86,0.21,0.43
3332.0,3.0,8.0,0.56,0.25,0.67,0.25,0.67,0.0,0.0
