parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
847.0,23.0,87.0,0.34,0.1,0.39,0.07,0.26,0.0,0.0
848.0,33.0,60.0,0.34,0.22,0.39,0.17,0.3,0.02,0.03
849.0,12.0,50.0,0.72,0.18,0.75,0.16,0.67,0.1,0.42
850.0,2.0,12.0,0.35,0.08,0.5,0.0,0.0,0.0,0.0
851.0,3.0,21.0,0.57,0.1,0.67,0.1,0.67,0.0,0.0
852.0,21.0,32.0,0.18,0.12,0.19,0.06,0.1,0.0,0.0
853.0,37.0,65.0,0.34,0.23,0.41,0.18,0.32,0.02,0.03
854.0,17.0,81.0,0.39,0.09,0.41,0.09,0.41,0.04,0.18
855.0,26.0,70.0,0.42,0.19,0.5,0.13,0.35,0.04,0.12
856.0,21.0,59.0,0.46,0.17,0.48,0.17,0.48,0.05,0.14
857.0,30.0,72.0,0.48,0.19,0.47,0.17,0.4,0.07,0.17
858.0,19.0,42.0,0.43,0.21,0.47,0.14,0.32,0.05,0.11
859.0,16.0,38.0,0.46,0.21,0.5,0.16,0.38,0.05,0.12
860.0,17.0,29.0,0.47,0.31,0.53,0.17,0.29,0.07,0.12
861.0,25.0,51.0,0.48,0.25,0.52,0.24,0.48,0.1,0.2
862.0,36.0,61.0,0.49,0.31,0.53,0.31,0.53,0.08,0.14
863.0,29.0,80.0,0.51,0.2,0.55,0.14,0.38,0.05,0.14
864.0,20.0,69.0,0.57,0.17,0.6,0.16,0.55,0.1,0.35
865.0,29.0,79.0,0.54,0.24,0.66,0.19,0.52,0.06,0.17
866.0,17.0,53.0,0.58,0.21,0.65,0.15,0.47,0.09,0.29
867.0,14.0,33.0,0.62,0.27,0.64,0.27,0.64,0.18,0.43
868.0,19.0,37.0,0.31,0.16,0.32,0.16,0.32,0.08,0.16
869.0,12.0,26.0,0.44,0.19,0.42,0.19,0.42,0.19,0.42
870.0,14.0,37.0,0.43,0.16,0.43,0.11,0.29,0.05,0.14
871.0,17.0,49.0,0.59,0.24,0.71,0.16,0.47,0.06,0.18
872.0,8.0,35.0,0.47,0.11,0.5,0.06,0.25,0.06,0.25
873.0,16.0,35.0,0.33,0.14,0.31,0.11,0.25,0.09,0.19
